Order_ID,Date,Region,City,Category,Product,Sales,Profit,Quantity,Discount
1001,2024-01-05,North,Delhi,Electronics,Laptop,80000,12000,2,5
1002,2024-01-06,West,Mumbai,Furniture,Chair,7000,1200,5,10
1003,2024-01-07,South,Bangalore,Electronics,Mobile,30000,5000,3,7
1004,2024-01-08,East,Kolkata,Office Supplies,Printer,15000,2500,2,6
1005,2024-01-09,North,Chandigarh,Electronics,Tablet,20000,3000,4,8
1006,2024-01-10,West,Pune,Furniture,Table,12000,1800,2,9
1007,2024-01-11,South,Hyderabad,Electronics,Headphones,4000,800,6,5
1008,2024-01-12,East,Bhubaneswar,Office Supplies,Paper,2000,300,10,2
1009,2024-01-13,North,Delhi,Furniture,Sofa,45000,7000,1,12
1010,2024-01-14,West,Mumbai,Electronics,Camera,35000,6000,2,10
1011,2024-01-15,South,Bangalore,Office Supplies,Pen,500,100,20,1
1012,2024-01-16,East,Kolkata,Electronics,Monitor,18000,2500,3,6
1013,2024-01-17,North,Jaipur,Furniture,Almirah,22000,3500,1,11
1014,2024-01-18,West,Pune,Electronics,Keyboard,1500,300,7,3
1015,2024-01-19,South,Chennai,Electronics,Mouse,800,150,10,2
1016,2024-01-20,East,Guwahati,Furniture,Bed,30000,5000,1,9
1017,2024-01-21,North,Delhi,Office Supplies,Notebook,1200,200,12,4
1018,2024-01-22,West,Mumbai,Electronics,Speaker,5000,900,4,5
1019,2024-01-23,South,Bangalore,Furniture,Desk,15000,2300,2,8
1020,2024-01-24,East,Kolkata,Electronics,TV,60000,9000,1,10